term	estimate	std.error	conf.level	conf.low	conf.high	statistic	df.error	p.value	label	Type
(Intercept)	-3.6182855645506744	0.3284939816666988	0.95	-4.263147557512989	-2.97342357158836	-11.014769726350453	761	2.777160681188441e-26	list(~widehat(italic(beta))=='-3.62', ~italic(t)('761')=='-11.01', ~italic(p)=='2.78e-26')	Citations
log<sub>2</sub>(Num references + 1)	0.3393322743655011	0.050367580936318046	0.95	0.2404563727173541	0.43820817601364814	6.737116773476453	761	3.188085299778607e-11	list(~widehat(italic(beta))=='0.34', ~italic(t)('761')=='6.74', ~italic(p)=='3.19e-11')	Citations
log<sub>2</sub>(Num authors)	0.49291894925023816	0.06475119056879747	0.95	0.3658067824305611	0.6200311160699152	7.612507892445883	761	7.968895652961085e-14	list(~widehat(italic(beta))=='0.49', ~italic(t)('761')=='7.61', ~italic(p)=='7.97e-14')	Citations
Has preprint	0.8213105127298789	0.1226588597349677	0.95	0.580520601323125	1.0621004241366327	6.69589228617082	761	4.1635108712135355e-11	list(~widehat(italic(beta))=='0.82', ~italic(t)('761')=='6.70', ~italic(p)=='4.16e-11')	Citations
Years (1st degree)	6.248155603548651	0.3488753772698245	0.95	5.563283174713814	6.933028032383487	17.90941984053019	761	4.0339530036677115e-60	list(~widehat(italic(beta))=='6.25', ~italic(t)('761')=='17.91', ~italic(p)=='4.03e-60')	Citations
Years (2nd degree)	12.507289073284488	0.5946258672561424	0.95	11.339987255819826	13.67459089074915	21.033879893248606	761	8.809794690307483e-78	list(~widehat(italic(beta))=='12.51', ~italic(t)('761')=='21.03', ~italic(p)=='8.81e-78')	Citations
Years (3rd degree)	9.585999656714383	0.8782586501968163	0.95	7.861902245161332	11.310097068267435	10.914779666065547	761	7.213446148520649e-26	list(~widehat(italic(beta))=='9.59', ~italic(t)('761')=='10.91', ~italic(p)=='7.21e-26')	Citations
(Intercept)	-0.09012172420007422	0.3622971359810748	0.95	-0.8013871085638571	0.6211436601637086	-0.2487508601359241	732	0.8036232783465175	list(~widehat(italic(beta))=='-0.09', ~italic(t)('732')=='-0.25', ~italic(p)=='0.804')	AAS
log<sub>2</sub>(Num references + 1)	0.3260517992742861	0.05723304951691577	0.95	0.21369130033540698	0.4384122982131653	5.69691466777283	732	1.767691734170552e-8	list(~widehat(italic(beta))=='0.33', ~italic(t)('732')=='5.70', ~italic(p)=='1.77e-08')	AAS
log<sub>2</sub>(Num authors)	0.4639492610276589	0.06802801949867254	0.95	0.3303959683547691	0.5975025537005487	6.8199730706067685	732	1.9075300487621968e-11	list(~widehat(italic(beta))=='0.46', ~italic(t)('732')=='6.82', ~italic(p)=='1.91e-11')	AAS
Has preprint	0.6419111971288747	0.1298232467644276	0.95	0.3870408922361573	0.8967815020215921	4.944501182393494	732	9.473244571160331e-7	list(~widehat(italic(beta))=='0.64', ~italic(t)('732')=='4.94', ~italic(p)=='9.47e-07')	AAS
Years (1st degree)	0.7528536736330098	0.3671263917582332	0.95	0.03210744571458457	1.473599901551435	2.0506661752849213	732	0.04065502090002688	list(~widehat(italic(beta))=='0.75', ~italic(t)('732')=='2.05', ~italic(p)=='0.041')	AAS
Years (2nd degree)	3.8677239565397423	0.6199879882436027	0.95	2.6505572970107263	5.084890616068758	6.238385307265106	732	7.475603828888504e-10	list(~widehat(italic(beta))=='3.87', ~italic(t)('732')=='6.24', ~italic(p)=='7.48e-10')	AAS
Years (3rd degree)	3.9983230098451266	0.9123631493525356	0.95	2.2071624908796093	5.789483528810644	4.382381086612893	732	1.345606247765079e-5	list(~widehat(italic(beta))=='4.00', ~italic(t)('732')=='4.38', ~italic(p)=='1.35e-05')	AAS
