From	To	Type
ADImpute	DrImpute	Imports
ADImpute	SAVER	Imports
ADImpute	SingleCellExperiment	Imports
aggregateBioVar	SingleCellExperiment	Imports
airpart	SingleCellExperiment	Imports
airpart	scater	Imports
BASiCS	SingleCellExperiment	Depends
BASiCS	scran	Imports
BASiCS	scuttle	Imports
batchelor	SingleCellExperiment	Depends
batchelor	scuttle	Imports
batchelor	scran	Suggests
batchelor	scater	Suggests
bayNorm	SingleCellExperiment	Imports
bcTSNE	batchelor	Suggests
bcTSNE	splatter	Suggests
bcTSNE	scater	Suggests
bcTSNE	harmony	Suggests
BEARscc	SingleCellExperiment	Imports
BisqueRNA	Seurat	Suggests
ccfindR	SingleCellExperiment	Imports
celaref	MAST	Imports
celda	scater	Imports
celda	scran	Imports
celda	SingleCellExperiment	Imports
celda	singleCellTK	Suggests
CellaRepertorium	SingleCellExperiment	Suggests
CellaRepertorium	scater	Suggests
CellBench	SingleCellExperiment	Depends
CelliD	Seurat	Depends
CelliD	SingleCellExperiment	Depends
CelliD	scater	Imports
CelliD	destiny	Suggests
CellMixS	scater	Imports
CellMixS	SingleCellExperiment	Imports
CellTrails	SingleCellExperiment	Depends
CellTrails	destiny	Suggests
CellTrails	scater	Suggests
CellTrails	scran	Suggests
CHETAH	SingleCellExperiment	Depends
CiteFuse	SingleCellExperiment	Imports
CiteFuse	scran	Imports
CiteFuse	scater	Suggests
clusterExperiment	SingleCellExperiment	Depends
clusterExperiment	zinbwave	Imports
clusterExperiment	mbkmeans	Imports
clusterExperiment	MAST	Suggests
clusterExperiment	scran	Suggests
clustifyr	SingleCellExperiment	Imports
CoGAPS	SingleCellExperiment	Imports
conclus	scran	Imports
conclus	scater	Imports
conclus	SingleCellExperiment	Imports
condiments	slingshot	Imports
condiments	SingleCellExperiment	Imports
condiments	TSCAN	Suggests
conos	pagoda2	Suggests
conos	Seurat	Suggests
corral	SingleCellExperiment	Imports
corral	CellBench	Suggests
ctgGEM	monocle	Depends
ctgGEM	sincell	Imports
ctgGEM	TSCAN	Imports
ctgGEM	destiny	Imports
DEsingle	SingleCellExperiment	Suggests
destiny	SingleCellExperiment	Imports
DIscBIO	SingleCellExperiment	Depends
DIscBIO	TSCAN	Imports
DIscBIO	Seurat	Suggests
distinct	SingleCellExperiment	Imports
distinct	scater	Imports
dittoSeq	SingleCellExperiment	Imports
dittoSeq	Seurat	Suggests
dittoSeq	scater	Suggests
dittoSeq	scran	Suggests
DropletUtils	SingleCellExperiment	Depends
DropletUtils	scuttle	Imports
DUBStepR	Seurat	Imports
dyngen	Seurat	Suggests
dyngen	SingleCellExperiment	Suggests
escape	SingleCellExperiment	Imports
escape	Seurat	Suggests
escape	SeuratObject	Suggests
escape	dittoSeq	Suggests
fcoex	SingleCellExperiment	Imports
fcoex	scater	Suggests
fcoex	schex	Suggests
fcoex	scran	Suggests
fcoex	Seurat	Suggests
FEAST	SingleCellExperiment	Imports
FEAST	TSCAN	Imports
FEAST	SC3	Imports
FEAST	Seurat	Suggests
fishpond	SingleCellExperiment	Suggests
glmGamPoi	scran	Suggests
harmony	Seurat	Suggests
HIPPO	SingleCellExperiment	Imports
ILoReg	SingleCellExperiment	Imports
infercnv	SingleCellExperiment	Imports
IRISFGM	DEsingle	Imports
IRISFGM	DrImpute	Imports
IRISFGM	Seurat	Imports
IRISFGM	SingleCellExperiment	Imports
IRISFGM	scater	Imports
IRISFGM	scran	Imports
iSEE	SingleCellExperiment	Depends
iSEE	scater	Suggests
LineagePulse	SingleCellExperiment	Imports
M3Drop	scater	Suggests
M3Drop	SingleCellExperiment	Suggests
M3Drop	monocle	Suggests
M3Drop	Seurat	Suggests
MAST	SingleCellExperiment	Depends
MAST	scater	Suggests
MAST	zinbwave	Suggests
mbkmeans	SingleCellExperiment	Imports
mbkmeans	scater	Suggests
MetaNeighbor	SingleCellExperiment	Imports
miloR	SingleCellExperiment	Imports
miloR	scater	Suggests
miloR	scran	Suggests
miQC	SingleCellExperiment	Imports
miQC	scater	Suggests
MOFA2	Seurat	Suggests
MOFA2	SingleCellExperiment	Suggests
monocle	destiny	Suggests
monocle	Seurat	Suggests
monocle	scater	Suggests
muscat	scater	Imports
muscat	scuttle	Imports
muscat	sctransform	Imports
muscat	SingleCellExperiment	Imports
Nebulosa	Seurat	Imports
Nebulosa	SingleCellExperiment	Imports
Nebulosa	scater	Suggests
Nebulosa	scran	Suggests
Nebulosa	DropletUtils	Suggests
Nebulosa	SeuratObject	Suggests
netSmooth	scater	Depends
netSmooth	clusterExperiment	Depends
netSmooth	SingleCellExperiment	Imports
NewWave	SingleCellExperiment	Imports
NewWave	splatter	Suggests
pagoda2	scde	Suggests
peco	scater	Imports
peco	SingleCellExperiment	Imports
phemd	monocle	Depends
phemd	SingleCellExperiment	Imports
phemd	destiny	Imports
phemd	Seurat	Imports
phemd	phateR	Imports
phenopath	SingleCellExperiment	Suggests
pipeComp	SingleCellExperiment	Imports
pipeComp	Seurat	Imports
pipeComp	scran	Imports
pipeComp	scater	Imports
POWSC	SingleCellExperiment	Depends
POWSC	MAST	Depends
RaceID	FateID	Imports
RaceID	batchelor	Suggests
RCSL	SingleCellExperiment	Imports
rliger	Seurat	Suggests
Rmagic	Seurat	Suggests
Rmagic	phateR	Suggests
SC3	SingleCellExperiment	Imports
SC3	scater	Suggests
scAlign	SingleCellExperiment	Depends
scAlign	Seurat	Depends
scater	SingleCellExperiment	Depends
scater	scuttle	Depends
scater	destiny	Suggests
scCAN	scDHA	Depends
