DOI	arXiv	Preprint	Title	Date	Abstract	Days	Years	NumAuthors	NumReferences	Citations	CitationsPerDay	Altmetric
10.1002/pmic.201700232	FALSE	FALSE	SIMLR: A Tool for Large-Scale Genomic Analyses by Multi-Kernel Learning	2018-01-24	NA	1341	3.671457905544148	6	12	36	0.026845637583892617	4
10.1007/978-1-4939-7710-9_15	FALSE	FALSE	Single-Cell Transcriptome Analysis Using SINCERA Pipeline	2018-03-06	NA	1300	3.5592060232717317	2	52	6	0.004615384615384616	2.35
10.1007/978-3-030-26969-2_47	FALSE	FALSE	EnsembleKQC: An Unsupervised Ensemble Learning Method for Quality Control of Single Cell RNA-seq Sequencing Data	2019-07-24	NA	795	2.1765913757700206	4	24	2	0.0025157232704402514	NA
10.1007/978-3-319-78723-7_31	FALSE	FALSE	scFeatureFilter: Correlation-Based Feature Filtering for Single-Cell RNAseq	2018-03-28	NA	1278	3.4989733059548254	3	11	0	0	NA
10.1007/s12539-017-0277-9	FALSE	FALSE	visnormsc: A Graphical User Interface to Normalize Single-cell RNA Sequencing Data	2017-12-26	NA	1370	3.7508555783709787	2	25	0	0	2
10.1007/s12561-021-09304-8	FALSE	FALSE	Penalized Latent Dirichlet Allocation Model in Single-Cell RNA Sequencing	2021-03-25	NA	185	0.5065023956194388	3	39	0	0	NA
10.1007/s12561-021-09308-4	FALSE	FALSE	Bayesian Joint Modeling of Single-Cell Expression Data and Bulk Spatial Transcriptomic Data	2021-04-12	NA	167	0.45722108145106094	3	32	0	0	1.5
10.1007/s40484-019-0192-7	FALSE	FALSE	Imputation of single-cell gene expression with an autoencoder neural network	2020-01-22	NA	613	1.678302532511978	7	23	13	0.021207177814029365	3.5
10.1016/j.cell.2016.11.038	FALSE	FALSE	Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens	2016-12-01	NA	1760	4.818617385352498	16	63	608	0.34545454545454546	271.076
10.1016/j.cell.2018.02.001	FALSE	FALSE	Mapping the Mouse Cell Atlas by Microwell-Seq	2018-02-01	NA	1333	3.649555099247091	28	62	397	0.2978244561140285	247.496
10.1016/j.cell.2018.05.057	FALSE	FALSE	A Single-Cell Transcriptome Atlas of the Aging Drosophila Brain	2018-08-01	NA	1152	3.154004106776181	24	105	298	0.2586805555555556	150.846
10.1016/j.cell.2018.05.061	FALSE	FALSE	Recovering Gene Interactions from Single-Cell Data Using Data Diffusion	2018-07-01	NA	1183	3.238877481177276	15	50	510	0.43110735418427726	197.31
10.1016/j.cell.2019.01.006	FALSE	FALSE	Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Developmental Trajectories in Reprogramming	2019-02-01	NA	968	2.650239561943874	18	74	148	0.15289256198347106	148.68
10.1016/j.cell.2019.05.006	FALSE	FALSE	Single-Cell Multi-omic Integration Compares and Contrasts Features of Brain Cell Identity	2019-06-01	NA	848	2.321697467488022	6	67	340	0.4009433962264151	225.26
10.1016/j.cell.2019.05.031	FALSE	FALSE	Comprehensive Integration of Single-Cell Data	2019-06-01	NA	848	2.321697467488022	10	103	3109	3.6662735849056602	316.26
10.1016/j.cell.2021.04.048	FALSE	FALSE	Integrated analysis of multimodal single-cell data	2021-06-01	NA	117	0.3203285420944558	25	90	80	0.6837606837606838	241.09
10.1016/j.celrep.2018.05.002	FALSE	FALSE	Transcriptional Dynamics of Hair-Bundle Morphogenesis Revealed with CellTrails	2018-06-01	NA	1213	3.3210130047912387	5	50	22	0.018136850783182192	1.25
10.1016/j.celrep.2019.01.063	FALSE	FALSE	PyMINEr Finds Gene and Autocrine-Paracrine Networks from Human Islet scRNA-Seq	2019-02-01	NA	968	2.650239561943874	11	50	20	0.02066115702479339	19.7
10.1016/j.celrep.2019.09.082	FALSE	FALSE	DoubletDecon: Deconvoluting Doublets from Single-Cell RNA-Sequencing Data	2019-11-01	NA	695	1.9028062970568105	8	27	50	0.07194244604316546	33.56
10.1016/j.celrep.2019.10.131	FALSE	FALSE	Single-Cell Profiling Defines Transcriptomic Signatures Specific to Tumor-Reactive versus Virus-Responsive CD4+ T Cells	2019-12-01	NA	665	1.8206707734428473	10	82	24	0.03609022556390978	34.85
10.1016/j.celrep.2020.108069	FALSE	FALSE	Unsupervised Inference of Developmental Directions for Single Cells Using VECTOR	2020-08-01	NA	421	1.1526351813826146	3	38	0	0	3.95
10.1016/j.celrep.2020.108589	FALSE	FALSE	Overcoming Expressional Drop-outs in Lineage Reconstruction from Single-Cell RNA-Sequencing Data	2021-01-01	NA	268	0.7337440109514032	9	46	1	0.0037313432835820895	8.5
10.1016/j.cels.2016.08.011	FALSE	FALSE	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure	2016-10-01	NA	1821	4.985626283367557	12	66	549	0.3014827018121911	36.076
10.1016/j.cels.2017.08.014	FALSE	FALSE	Gene Regulatory Network Inference from Single-Cell Data Using Multivariate Information Measures	2017-09-01	NA	1486	4.068446269678303	3	99	200	0.13458950201884254	35.88
10.1016/j.cels.2017.10.012	FALSE	FALSE	Unsupervised Trajectory Analysis of Single-Cell RNA-Seq and Imaging Data Reveals Alternative Tuft Cell Origins in the Gut	2018-01-01	NA	1364	3.7344284736481863	11	76	92	0.06744868035190615	50.71
10.1016/j.cels.2018.05.017	FALSE	FALSE	Generalizable and Scalable Visualization of Single-Cell Data Using Neural Networks	2018-08-01	NA	1152	3.154004106776181	3	49	36	0.03125	10.85
10.1016/j.cels.2018.06.011	FALSE	FALSE	Correcting the Mean-Variance Dependency for Differential Variability Testing Using Single-Cell RNA Sequencing Data	2018-09-01	NA	1121	3.0691307323750854	5	58	31	0.027653880463871544	48.53
10.1016/j.cels.2018.10.015	FALSE	FALSE	Visualizing and Interpreting Single-Cell Gene Expression Datasets with Similarity Weighted Nonnegative Embedding	2018-12-01	NA	1030	2.8199863107460645	3	41	32	0.031067961165048542	16.45
10.1016/j.cels.2018.11.005	FALSE	FALSE	Scrublet: Computational Identification of Cell Doublets in Single-Cell Transcriptomic Data	2019-04-01	NA	909	2.48870636550308	3	30	343	0.3773377337733773	32.98
10.1016/j.cels.2019.03.003	FALSE	FALSE	DoubletFinder: Doublet Detection in Single-Cell RNA Sequencing Data Using Artificial Nearest Neighbors	2019-04-01	NA	909	2.48870636550308	3	38	300	0.33003300330033003	33.85
10.1016/j.cels.2019.03.010	FALSE	FALSE	Performance Assessment and Selection of Normalization Procedures for Single-Cell RNA-Seq	2019-04-01	NA	909	2.48870636550308	8	57	49	0.0539053905390539	18.296
10.1016/j.cels.2019.05.003	FALSE	FALSE	Geometric Sketching Compactly Summarizes the Single-Cell Transcriptomic Landscape	2019-06-01	NA	848	2.321697467488022	5	60	42	0.049528301886792456	12.35
10.1016/j.cels.2019.05.007	FALSE	FALSE	Subpopulation Detection and Their Comparative Analysis across Single-Cell Experiments with scPopCorn	2019-06-01	NA	848	2.321697467488022	3	32	9	0.01061320754716981	25.3
