term	estimate	std.error	conf.level	conf.low	conf.high	statistic	df.error	p.value	label	Type
(Intercept)	-1.157726802550332	0.3317262289548387	0.95	-1.8087747791860227	-0.5066788259146413	-3.490006823391542	899	5.064801480194051e-4	list(~widehat(italic(beta))=='-1.16', ~italic(t)('899')=='-3.49', ~italic(p)=='0.001')	Total citations
Years (1st degree)	4.703747604534119	0.3421258867847053	0.95	4.03228919424303	5.375206014825207	13.748587248804464	899	3.5382363671724914e-39	list(~widehat(italic(beta))=='4.70', ~italic(t)('899')=='13.75', ~italic(p)=='3.54e-39')	Total citations
Years (2nd degree)	5.791886818916242	0.7250894193236742	0.95	4.36882177875358	7.214951859078904	7.987824211141591	899	4.189537830959876e-15	list(~widehat(italic(beta))=='5.79', ~italic(t)('899')=='7.99', ~italic(p)=='4.19e-15')	Total citations
Years (3rd degree)	5.539330932730296	0.845452041967217	0.95	3.88004145477887	7.198620410681722	6.5519162031252005	899	9.552490601017024e-11	list(~widehat(italic(beta))=='5.54', ~italic(t)('899')=='6.55', ~italic(p)=='9.55e-11')	Total citations
Platform (R)	0.0925148196123829	0.2219079947149533	0.95	-0.34300320202142176	0.5280328412461875	0.41690620354269187	899	0.6768465436533275	list(~widehat(italic(beta))=='0.09', ~italic(t)('899')=='0.42', ~italic(p)=='0.677')	Total citations
Platform (Python)	0.20945787228125864	0.23248668364280012	0.95	-0.2468219505632386	0.6657376951257559	0.900945675680403	899	0.36785849179191443	list(~widehat(italic(beta))=='0.21', ~italic(t)('899')=='0.90', ~italic(p)=='0.368')	Total citations
Platform (Both)	0.5596152251812525	0.31399774358227095	0.95	-0.05663871491716743	1.1758691652796724	1.7822269000943538	899	0.07504966346648707	list(~widehat(italic(beta))=='0.56', ~italic(t)('899')=='1.78', ~italic(p)=='0.075')	Total citations
Has repository	0.1947224050773535	0.13867011391983264	0.95	-0.07743242986528415	0.46687724001999115	1.4042132048000304	899	0.1606007414384199	list(~widehat(italic(beta))=='0.19', ~italic(t)('899')=='1.40', ~italic(p)=='0.161')	Total citations
Has license	0.0901220617994492	0.15529180226588177	0.95	-0.2146546028973788	0.3948987264962772	0.5803401112258801	899	0.5618307126534658	list(~widehat(italic(beta))=='0.09', ~italic(t)('899')=='0.58', ~italic(p)=='0.562')	Total citations
Publications	1.4833637712455343	0.1207174484608359	0.95	1.2464429500832435	1.7202845924078252	12.287898643970916	899	3.4278789373582503e-32	list(~widehat(italic(beta))=='1.48', ~italic(t)('899')=='12.29', ~italic(p)=='3.43e-32')	Total citations
Preprints	0.20264731101024086	0.10817463755999424	0.95	-0.009656910843501565	0.4149515328639833	1.8733347814348034	899	0.06134643599379127	list(~widehat(italic(beta))=='0.20', ~italic(t)('899')=='1.87', ~italic(p)=='0.061')	Total citations
log<sub>2</sub>(Contributors + 1)	0.5189520529310775	0.0871477889513241	0.95	0.3479152559801858	0.6899888498819692	5.954850480726885	899	3.730571055640003e-9	list(~widehat(italic(beta))=='0.52', ~italic(t)('899')=='5.95', ~italic(p)=='3.73e-09')	Total citations
(Intercept)	1.2252110870155357	0.3017544875922465	0.95	0.6329858378796968	1.8174363361513746	4.0602911883488995	899	5.328344408787074e-5	list(~widehat(italic(beta))=='1.23', ~italic(t)('899')=='4.06', ~italic(p)=='5.33e-05')	Total AAS
Years (1st degree)	0.6774842473804737	0.3112145276664768	0.95	0.06669266428718745	1.28827583047376	2.1769043124700205	899	0.02974725734529757	list(~widehat(italic(beta))=='0.68', ~italic(t)('899')=='2.18', ~italic(p)=='0.030')	Total AAS
